"","Date","Open","High","Low","Close","Volume","Cryptocurrency"
"268",2019-04-15,167.16,168.26,157.59,160.69,359.253,"Ethereum"
"269",2019-04-16,160.69,166,159.73,165.52,224.241,"Ethereum"
"270",2019-04-17,165.52,166.63,163.84,165.48,161.059,"Ethereum"
"271",2019-04-18,166.04,175,164.93,172.5,304.739,"Ethereum"
"272",2019-04-19,172.5,173.51,169.77,173.25,232.239,"Ethereum"
"273",2019-04-20,173.25,176.06,170.83,171.53,210.544,"Ethereum"
"274",2019-04-21,171.53,173.05,165.38,168.16,200.302,"Ethereum"
"275",2019-04-22,168.16,171.8,167.15,171.17,273.552,"Ethereum"
"276",2019-04-23,171.17,175.38,169,169.62,421.445,"Ethereum"
"277",2019-04-24,169.62,170.07,159.96,164.79,269.498,"Ethereum"
"278",2019-04-25,164.79,165,151.13,155.1,229.096,"Ethereum"
"279",2019-04-26,155.1,160.35,152.54,157.4,244.987,"Ethereum"
"280",2019-04-27,157.4,161.63,156.43,160.07,205.122,"Ethereum"
"281",2019-04-28,160.07,160.07,156,158.03,109.387,"Ethereum"
"282",2019-04-29,158.03,158.84,153,154.11,244.533,"Ethereum"
"283",2019-04-30,154.11,161.75,151.05,161.75,162.764,"Ethereum"
"284",2019-05-01,161.75,163,159,160.6,147.073,"Ethereum"
"285",2019-05-02,160.6,163.36,159.26,161.83,168.029,"Ethereum"
"286",2019-05-03,161.83,169.48,161.83,168,236.99,"Ethereum"
"287",2019-05-04,168,170.9,160.12,163.37,256.199,"Ethereum"
"288",2019-05-05,163.37,165.27,159.63,163.27,118.921,"Ethereum"
"289",2019-05-06,163.27,177.55,159.3,174.63,474.912,"Ethereum"
"290",2019-05-07,174.63,182.72,170,170,469.358,"Ethereum"
"291",2019-05-08,169,172.01,165.68,170.61,240.655,"Ethereum"
"292",2019-05-09,170.54,173.35,167.1,171.09,274.875,"Ethereum"
"293",2019-05-10,171.09,175.73,169.23,172.66,283.476,"Ethereum"
"294",2019-05-11,172.66,205,172,193.33,727.232,"Ethereum"
"295",2019-05-12,193.33,203.7,181.68,187,540.247,"Ethereum"
"296",2019-05-13,187,206,185.09,194.03,486.556,"Ethereum"
"297",2019-05-14,194.03,219,194.03,218,549.163,"Ethereum"
"298",2019-05-15,215.85,249.5,215.85,249.03,507.176,"Ethereum"
"299",2019-05-16,249.03,277.35,241.37,262.88,723.744,"Ethereum"
"300",2019-05-17,262.88,267.2,224.6,244.21,521.036,"Ethereum"
"301",2019-05-18,244.21,247.03,231.55,233.8,329.167,"Ethereum"
